"school","city","state","region","conference","division"
"Olympic College","Bremerton","Washington","West Coast","Northwest Athletic Conference","JC"
"Onondaga Community College","Syracuse","New York","North East","Middle States Athletic Conference","JC"
"Oral Roberts University","Tulsa","Oklahoma","Mid South","The Summit League","NCAA D1"
"Orange Coast College","Costa Mesa","California","West Coast","Orange Empire Conference","JC"
"Oregon Institute of Technology","Klamath Falls","Oregon","West Coast","Cascade Collegiate Conference","NAIA"
"Oregon State University","Corvallis","Oregon","West Coast","Pacific-12 Conference","NCAA D1"
"Otero Junior College","La Junta","Colorado","South West","NJCAA Region 9","JC"
"Ottawa University","Ottawa","Kansas","Mid West","Kansas Collegiate Athletic Conference","NAIA"
"Ottawa University – Arizona","Phoenix","Arizona","South West","Golden State Athletic Conference","NAIA"
"Otterbein University","Westerville","Ohio","Great Lakes","Ohio Athletic Conference","NCAA D3"
"Ouachita Baptist University","Arkadelphia","Arkansas","Mid South","Great American Conference","NCAA D2"
"Our Lady of the Lake University","San Antonio","Texas","Mid South","Red River Athletic Conference","NAIA"
"Owens Community College","Perrysburg","Ohio","Great Lakes","Ohio Community College Athletic Conference","JC"
"Oxford College of Emory University","Oxford","Georgia","South East","Georgia Collegiate Athletic Association","JC"
"Pace University","New York","New York","North East","Northeast-10 Conference","NCAA D2"
"Pacific Lutheran University","Tacoma","Washington","West Coast","Northwest Conference","NCAA D3"
"Pacific Union College","Angwin","California","West Coast","California Pacific Conference","NAIA"
"Pacific University","Forest Grove","Oregon","West Coast","Northwest Conference","NCAA D3"
"Paine College","Augusta","Georgia","South East","Southern Intercollegiate Athletic Conference","NCAA D2"
"Palm Beach Atlantic University","West Palm Beach","Florida","South East","Sunshine State Conference","NCAA D2"
"Palm Beach State College","Lake Worth","Florida","South East","Florida Community College Activities Association","JC"
"Palomar College","San Marcos","California","West Coast","CCCAA, SCFA (National Central League)","JC"
"Panola College","Carthage","Texas","Mid South","Texas Eastern Athletic Conference","JC"
"Paris Junior College","Paris","Texas","Mid South","NJCAA Region 14","JC"
"Park University","Parkville","Missouri","Mid West","Heart of America Athletic Conference","NAIA"
"Parkland College","Champaign","Illinois","Great Lakes","Mid-West Athletic Conference","JC"
"Pasadena City College","Pasadena","California","West Coast","South Coast Conference","JC"
