"school","city","state","region","conference","division"
"SUNY Purchase College","Purchase","New York","North East","Skyline Conference","NCAA D3"
"SUNY Rockland Community College","Suffern","New York","North East","Mid-Hudson Conference","JC"
"SUNY Schenectady County Community College","Schenectady","New York","North East","Mountain Valley Conference","JC"
"SUNY Stony Brook University","Stony Brook","New York","North East","Colonial Athletic Association","NCAA D1"
"SUNY Sullivan County Community College","Loch Sheldrake","New York","North East","Mid-Hudson Conference","JC"
"SUNY Tompkins Cortland Community College","Dryden","New York","North East","Mid-State Athletic Conference","JC"
"SUNY University at Albany","Albany","New York","North East","America East Conference ","NCAA D1"
"SUNY University at Buffalo","Buffalo","New York","North East","Mid-American Conference","NCAA D1"
"SUNY Westchester Community College","Valhalla","New York","North East","Mid-Hudson Conference","JC"
"Susquehanna University","Selinsgrove","Pennsylvania","North East","Centennial Conference","NCAA D3"
"Sussex County Community College","Newton","New Jersey","North East","NJCAA Region 19","JC"
"Swarthmore College","Swarthmore","Pennsylvania","North East","Centennial Conference","NCAA D3"
"Syracuse University","Syracuse","New York","North East","Atlantic Coast Conference","NCAA D1"
"Tabor College","Hillsboro","Kansas","Mid West","Kansas Collegiate Athletic Conference","NAIA"
"Tacoma Community College","Tacoma","Washington","West Coast","Northwest Athletic Conference","JC"
"Talladega College","Talladega","Alabama","South East","Southern States Athletic Conference","NAIA"
"Tallahassee Community College","Tallahassee","Florida","South East","Panhandle Conference","JC"
"Tarleton State University","Stephenville","Texas","Mid South","Western Athletic Conference ","NCAA D1"
"Taylor University","Upland","Indiana","Great Lakes","Crossroads League","NAIA"
"Temple College","Temple","Texas","Mid South","Northern Texas Junior College","JC"
"Temple University","Philadelphia","Pennsylvania","North East","American Athletic Conference","NCAA D1"
"Tennessee State University","Nashville","Tennessee","Mid East","Ohio Valley Conference","NCAA D1"
"Tennessee Technological University","Cookeville","Tennessee","Mid East","Ohio Valley Conference","NCAA D1"
"Tennessee Wesleyan University","Athens","Tennessee","Mid East","Appalachian Athletic Conference","NAIA"
"Texas A&M International University","Laredo","Texas","Mid South","Heartland Conference","NCAA D2"
"Texas A&M University","College Station","Texas","Mid South","Southeastern Conference","NCAA D1"
"Texas A&M University – Commerce","Commerce","Texas","Mid South","Lone Star Conference","NCAA D2"
"Texas A&M University – Corpus Christi","Corpus Christi","Texas","Mid South","Southland Conference","NCAA D1"
"Texas A&M University – Kingsville","Kingsville","Texas","Mid South","Lone Star Conference","NCAA D2"
"Texas Christian University","Fort Worth","Texas","Mid South","Big 12 Conference","NCAA D1"
"Texas College","Tyler","Texas","Mid South","Red River Athletic Conference","NAIA"
"Texas Lutheran University","Seguin","Texas","Mid South","Southern Collegiate Athletic Conference","NCAA D3"
"Texas Southern University","Houston","Texas","Mid South","Southwestern Athletic Conference","NCAA D1"
"Texas State University","San Marcos","Texas","Mid South","Sun Belt Conference","NCAA D1"
"Texas Tech University","Lubbock","Texas","Mid South","Big 12 Conference","NCAA D1"
"Texas Wesleyan University","Fort Worth","Texas","Mid South","Sooner Athletic Conference","NAIA"
"Thaddeus Stevens College of Technology","Lancaster","Pennsylvania","North East","Eastern Pennsylvania Athletic Conference","JC"
"The College of Idaho","Caldwell","Idaho","North West","Cascade Collegiate Conference","NAIA"
"The College of New Jersey","Ewing","New Jersey","North East","New Jersey Athletic Conference","NCAA D3"
"The College of Saint Rose","Albany","New York","North East","Northeast-10 Conference","NCAA D2"
"The College of St. Scholastica","Duluth","Minnesota","Mid West","Upper Midwest Athletic Conference","NCAA D3"
"The Community College of Baltimore County – Catonsville Campus","Baltimore","Maryland","North East","Maryland Junior College Athletic Conference","JC"
"The Master's University","Santa Clarita","California","West Coast","Golden State Athletic Conference","NAIA"
"The University of Virginia's College at Wise","Wise","Virginia","Mid East","Mountain East Conference","NCAA D2"
"Thiel College","Greenville","Pennsylvania","North East","Presidents' Athletic Conference","NCAA D3"
"Thomas College","Waterville","Maine","New England","North Atlantic Conference","NCAA D3"
"Thomas Jefferson University (Formerly Philadelphia University)","Philadelphia","Pennsylvania","North East","Central Atlantic Collegiate Conference","NCAA D2"
"Thomas More University","Crestview Hills","Kentucky","Mid East","Mid-South Conference","NAIA"
"Thomas University","Thomasville","Georgia","South East","Sun Conference","NAIA"
"Three Rivers College","Poplar Bluff","Missouri","Mid West","Missouri Community College Athletic Conference","JC"
"Tiffin University","Tiffin","Ohio","Great Lakes","Great Lakes Intercollegiate Athletic Conference","NCAA D2"
"Tohono O'Odham Community College","Sells","Arizona","South West","Arizona Community College Athletic Conference","JC"
"Tougaloo College","Tougaloo","Mississippi","Mid South","Gulf Coast Athletic Conference","NAIA"
"Towson University","Towson","Maryland","North East","Colonial Athletic Association","NCAA D1"
"Transylvania University","Lexington","Kentucky","Mid East","Heartland Collegiate Athletic Conference","NCAA D3"
"Treasure Valley Community College","Ontario","Oregon","West Coast","Scenic West Athletic Conference","JC"
"Trevecca Nazarene University","Nashville","Tennessee","Mid East","Great Midwest Athletic Conference","NCAA D2"
"Trine University","Angola","Indiana","Great Lakes","Michigan Intercollegiate Athletic Association","NCAA D3"
"Trinidad State College","Trinidad","Colorado","South West","NJCAA Region 9","JC"
"Trinity Christian College","Palos Heights","Illinois","Great Lakes","Chicagoland Collegiate Athletic Conference","NAIA"
"Trinity College – Connecticut","Hartford","Connecticut","New England","New England Small College Athletic Conference","NCAA D3"
"Trinity International University","Deerfield","Illinois","Great Lakes","Chicagoland Collegiate Athletic Conference","NAIA"
"Trinity University – Texas","San Antonio","Texas","Mid South","Southern Collegiate Athletic Conference","NCAA D3"
"Trinity Valley Community College","Athens","Texas","Mid South","NJCAA Region 14","JC"
"Triton College","River Grove","Illinois","Great Lakes","NJCAA Region 4","JC"
"Troy University","Troy","Alabama","South East","Sun Belt Conference","NCAA D1"
"Truett-McConnell University","Cleveland","Georgia","South East","Appalachian Athletic Conference","NAIA"
"Truman State University","Kirksville","Missouri","Mid West","Great Lakes Valley Conference","NCAA D2"
"Tufts University","Medford","Massachusetts","New England","New England Small College Athletic Conference","NCAA D3"
"Tulane University","New Orleans","Louisiana","Mid South","American Athletic Conference","NCAA D1"
"Tusculum University","Greeneville","Tennessee","Mid East","South Atlantic Conference","NCAA D2"
"Tuskegee University","Tuskegee","Alabama","South East","Southern Intercollegiate Athletic Conference","NCAA D2"
"Tyler Junior College","Tyler","Texas","Mid South","NJCAA Region 14","JC"
"Umpqua Community College","Roseburg","Oregon","West Coast","Northwest Athletic Conference","JC"
"Union College – Kentucky","Barbourville","Kentucky","Mid East","Appalachian Athletic Conference","NAIA"
"Union College – New York","Schenectady","New York","North East","Liberty League","NCAA D3"
"Union County College","Cranford","New Jersey","North East","Garden State Athletic Conference","JC"
"Union University","Jackson","Tennessee","Mid East","Gulf South Conference","NCAA D2"
"United States Air Force Academy","USAFA","Colorado","South West","Mountain West Conference","NCAA D1"
"United States Coast Guard Academy","New London","Connecticut","New England","New England Women's & Men's Athletic Conference","NCAA D3"
"United States Merchant Marine Academy","Kings Point","New York","North East","New England Women's & Men's Athletic Conference","NCAA D3"
"United States Military Academy","West Point","New York","North East","Patriot League","NCAA D1"
"United States Naval Academy","Annapolis","Maryland","North East","Patriot League","NCAA D1"
"University of Akron","Akron","Ohio","Great Lakes","Mid-American Conference","NCAA D1"
"University of Alabama","Tuscaloosa","Alabama","South East","Southeastern Conference","NCAA D1"
"University of Alabama – Birmingham","Birmingham","Alabama","South East","Conference USA","NCAA D1"
"University of Alabama – Huntsville","Huntsville","Alabama","South East","Gulf South Conference","NCAA D2"
"University of Alaska – Anchorage","Anchorage","Alaska","West Coast","Great Northwest Athletic Conference","NCAA D2"
"University of Alaska – Fairbanks","Fairbanks","Alaska","West Coast","Great Northwest Athletic Conference","NCAA D2"
"University of Antelope Valley","Lancaster","California","West Coast","California Pacific Conference","NAIA"
"University of Arizona","Tucson","Arizona","South West","Pacific-12 Conference","NCAA D1"
"University of Arkansas","Fayetteville","Arkansas","Mid South","Southeastern Conference","NCAA D1"
"University of Arkansas – Fort Smith","Fort Smith","Arkansas","Mid South","Heartland Conference","NCAA D2"
"University of Arkansas at Little Rock","Little Rock","Arkansas","Mid South","Sun Belt Conference","NCAA D1"
"University of Arkansas at Monticello","Monticello","Arkansas","Mid South","Great American Conference","NCAA D2"
"University of Arkansas at Pine Bluff","Pine Bluff","Arkansas","Mid South","Southwestern Athletic Conference","NCAA D1"
"University of Bridgeport","Bridgeport","Connecticut","New England","East Coast Conference","NCAA D2"
"University of California","Berkeley","California","West Coast","Pacific-12 Conference","NCAA D1"
"University of California – Davis","Davis","California","West Coast","Big West Conference","NCAA D1"
"University of California – Irvine","Irvine","California","West Coast","Big West Conference","NCAA D1"
"University of California – Los Angeles – UCLA","Los Angeles","California","West Coast","Pacific-12 Conference","NCAA D1"
"University of California – Merced","Merced","California","West Coast","California Pacific Conference","NAIA"
"University of California – Riverside","Riverside","California","West Coast","Big West Conference","NCAA D1"
"University of California – San Diego","La Jolla","California","West Coast","Big West Conference","NCAA D1"
"University of California – Santa Barbara","Santa Barbara","California","West Coast","Big West Conference","NCAA D1"
"University of California – Santa Cruz","Santa Cruz","California","West Coast","Coast-To-Coast Conference","NCAA D3"
"University of Central Arkansas","Conway","Arkansas","Mid South","ASUN Conference","NCAA D1"
"University of Central Florida","Orlando","Florida","South East","American Athletic Conference","NCAA D1"
"University of Central Missouri","Warrensburg","Missouri","Mid West","Mid-America Intercollegiate Athletics Association","NCAA D2"
"University of Central Oklahoma","Edmond","Oklahoma","Mid South","Mid-America Intercollegiate Athletics Association","NCAA D2"
"University of Charleston","Charleston","West Virginia","Mid East","Mountain East Conference","NCAA D2"
"University of Chicago","Chicago","Illinois","Great Lakes","Midwest Conference","NCAA D3"
"University of Cincinnati","Cincinnati","Ohio","Great Lakes","American Athletic Conference","NCAA D1"
"University of Colorado – Boulder","Boulder","Colorado","South West","Pacific-12 Conference","NCAA D1"
"University of Colorado – Colorado Springs","Colorado Springs","Colorado","South West","Rocky Mountain Athletic Conference","NCAA D2"
"University of Connecticut","Storrs","Connecticut","New England","Big East Conference","NCAA D1"
"University of Dallas","Irving","Texas","Mid South","Southern Collegiate Athletic Conference","NCAA D3"
"University of Dayton","Dayton","Ohio","Great Lakes","Atlantic 10 Conference ","NCAA D1"
"University of Delaware","Newark","Delaware","North East","Colonial Athletic Association","NCAA D1"
"University of Denver","Denver","Colorado","South West","The Summit League","NCAA D1"
"University of Detroit Mercy","Detroit","Michigan","Great Lakes","Horizon League","NCAA D1"
"University of Dubuque","Dubuque","Iowa","Mid West","Iowa Intercollegiate Athletic Conference","NCAA D3"
"University of Evansville","Evansville","Indiana","Great Lakes","Missouri Valley Conference","NCAA D1"
"University of Findlay","Findlay","Ohio","Great Lakes","Great Lakes Intercollegiate Athletic Conference","NCAA D2"
"University of Florida","Gainesville","Florida","South East","Southeastern Conference","NCAA D1"
"University of Georgia","Athens","Georgia","South East","Southeastern Conference","NCAA D1"
"University of Hartford","West Hartford","Connecticut","New England","America East Conference","NCAA D1"
"University of Hawaii at Hilo","Hilo","Hawaii","West Coast","Pacific West Conference","NCAA D2"
"University of Hawaii at Manoa","Honolulu","Hawaii","West Coast","Big West Conference","NCAA D1"
"University of Health Sciences & Pharmacy in St. Louis (UHSP)","Saint Louis","Missouri","Mid West","American Midwest Conference","NAIA"
"University of Houston","Houston","Texas","Mid South","American Athletic Conference","NCAA D1"
"University of Idaho","Moscow","Idaho","North West","Big Sky Conference","NCAA D1"
"University of Illinois","Champaign","Illinois","Great Lakes","Big Ten Conference","NCAA D1"
"University of Illinois at Chicago","Chicago","Illinois","Great Lakes","Horizon League","NCAA D1"
"University of Illinois at Springfield","Springfield","Illinois","Great Lakes","Great Lakes Valley Conference","NCAA D2"
"University of Indianapolis","Indianapolis","Indiana","Great Lakes","Great Lakes Valley Conference","NCAA D2"
"University of Iowa","Iowa City","Iowa","Mid West","Big Ten Conference","NCAA D1"
"University of Jamestown","Jamestown","North Dakota","North West","Great Plains Athletic Conference","NAIA"
"University of Kansas","Lawrence","Kansas","Mid West","Big 12 Conference","NCAA D1"
"University of Kentucky","Lexington","Kentucky","Mid East","Southeastern Conference","NCAA D1"
"University of La Verne","La Verne","California","West Coast","Southern California Intercollegiate Athletic Conference","NCAA D3"
"University of Louisiana – Lafayette","Lafayette","Louisiana","Mid South","Sun Belt Conference","NCAA D1"
"University of Louisiana – Monroe","Monroe","Louisiana","Mid South","Sun Belt Conference","NCAA D1"
"University of Louisville","Louisville","Kentucky","Mid East","Atlantic Coast Conference","NCAA D1"
"University of Lynchburg","Lynchburg","Virginia","Mid East","Old Dominion Athletic Conference","NCAA D3"
"University of Maine","Orono","Maine","New England","America East Conference ","NCAA D1"
"University of Maine at Augusta","Augusta","Maine","New England","YSCAA","NCAA D3"
"University of Maine at Farmington","Farmington","Maine","New England","North Atlantic Conference","NCAA D3"
"University of Maine at Presque Isle","Presque Isle","Maine","New England","North Atlantic Conference","NCAA D3"
"University of Mary","Bismarck","North Dakota","North West","Northern Sun Intercollegiate Conference","NCAA D2"
"University of Mary Hardin-Baylor","Belton","Texas","Mid South","American Southwest Conference","NCAA D3"
"University of Mary Washington","Fredericksburg","Virginia","Mid East","Capital Athletic Conference","NCAA D3"
"University of Maryland","College Park","Maryland","North East","Big Ten Conference","NCAA D1"
"University of Maryland – Baltimore County","Baltimore","Maryland","North East","America East Conference","NCAA D1"
"University of Maryland Eastern Shore","Princess Anne","Maryland","North East","Mid-Eastern Athletic Conference","NCAA D1"
"University of Massachusetts – Amherst","Amherst","Massachusetts","New England","Atlantic Coast Conference","NCAA D1"
"University of Massachusetts – Boston","Boston","Massachusetts","New England","Little East Conference","NCAA D3"
"University of Massachusetts – Dartmouth","North Dartmouth","Massachusetts","New England","Massachusetts State Collegiate Athletic Conference","NCAA D3"
"University of Massachusetts – Lowell","Lowell","Massachusetts","New England","America East Conference","NCAA D1"
"University of Memphis","Memphis","Tennessee","Mid East","American Athletic Conference","NCAA D1"
"University of Miami","Coral Gables","Florida","South East","Atlantic Coast Conference","NCAA D1"
"University of Michigan","Ann Arbor","Michigan","Great Lakes","Big Ten Conference","NCAA D1"
"University of Michigan – Dearborn","Dearborn","Michigan","Great Lakes","Wolverine-Hoosier Athletic Conference","NAIA"
"University of Minnesota","Minneapolis","Minnesota","Mid West","Big Ten Conference","NCAA D1"
"University of Minnesota – Crookston","Crookston","Minnesota","Mid West","Northern Sun Intercollegiate Conference","NCAA D2"
"University of Minnesota – Duluth","Duluth","Minnesota","Mid West","Northern Sun Intercollegiate Conference","NCAA D2"
"University of Minnesota – Morris","Morris","Minnesota","Mid West","Upper Midwest Athletic Conference","NCAA D3"
"University of Mississippi","University","Mississippi","Mid South","Southeastern Conference","NCAA D1"
"University of Missouri","Columbia","Missouri","Mid West","Southeastern Conference","NCAA D1"
"University of Missouri – Kansas City","Kansas City","Missouri","Mid West","The Summit League","NCAA D1"
"University of Missouri – St. Louis","Saint Louis","Missouri","Mid West","Great Lakes Valley Conference","NCAA D2"
"University of Mobile","Mobile","Alabama","South East","Southern States Athletic Conference","NAIA"
"University of Montana","Missoula","Montana","North West","Big Sky Conference","NCAA D1"
"University of Montana – Western","Dillon","Montana","North West","Frontier Conference","NAIA"
"University of Montevallo","Montevallo","Alabama","South East","Gulf South Conference","NCAA D2"
"University of Mount Olive","Mount Olive","North Carolina","Mid East","Conference Carolinas","NCAA D2"
"University of Mount Union","Alliance","Ohio","Great Lakes","Ohio Athletic Conference","NCAA D3"
"University of Nebraska","Lincoln","Nebraska","Mid West","Big Ten Conference","NCAA D1"
"University of Nebraska at Kearney","Kearney","Nebraska","Mid West","Mid-America Intercollegiate Athletics Association","NCAA D2"
"University of Nebraska at Omaha","Omaha","Nebraska","Mid West","The Summit League","NCAA D1"
"University of Nevada – Las Vegas","Las Vegas","Nevada","South West","Mountain West Conference","NCAA D1"
"University of Nevada – Reno","Reno","Nevada","South West","Mountain West Conference","NCAA D1"
"University of New England","Biddeford","Maine","New England","Commonwealth Coast Conference","NCAA D3"
"University of New Hampshire","Durham","New Hampshire","New England","America East Conference ","NCAA D1"
"University of New Haven","West Haven","Connecticut","New England","Northeast-10 Conference","NCAA D2"
"University of New Mexico","Albuquerque","New Mexico","South West","Mountain West Conference","NCAA D1"
"University of New Orleans","New Orleans","Louisiana","Mid South","Southland Conference","NCAA D1"
"University of North Alabama","Florence","Alabama","South East","ASUN Conference ","NCAA D1"
"University of North Carolina – Greensboro","Greensboro","North Carolina","Mid East","Southern Conference","NCAA D1"
"University of North Carolina – Wilmington","Wilmington","North Carolina","Mid East","Colonial Athletic Association","NCAA D1"
"University of North Carolina Asheville","Asheville","North Carolina","Mid East","Big South Conference","NCAA D1"
"University of North Carolina at Chapel Hill","Chapel Hill","North Carolina","Mid East","Atlantic Coast Conference","NCAA D1"
"University of North Carolina at Charlotte","Charlotte","North Carolina","Mid East","Conference USA","NCAA D1"
"University of North Carolina at Pembroke","Pembroke","North Carolina","Mid East","Division II Independents","NCAA D2"
"University of North Dakota","Grand Forks","North Dakota","North West","The Summit League","NCAA D1"
"University of North Florida","Jacksonville","Florida","South East","Atlantic Sun Conference","NCAA D1"
"University of North Georgia","Dahlonega","Georgia","South East","Peach Belt Conference","NCAA D2"
"University of North Texas","Denton","Texas","Mid South","Conference USA","NCAA D1"
"University of Northern Colorado","Greeley","Colorado","South West","Big Sky Conference","NCAA D1"
"University of Northern Iowa","Cedar Falls","Iowa","Mid West","Missouri Valley Conference","NCAA D1"
"University of Northwestern – St. Paul","Saint Paul","Minnesota","Mid West","Upper Midwest Athletic Conference","NCAA D3"
"University of Northwestern Ohio","Lima","Ohio","Great Lakes","Wolverine-Hoosier Athletic Conference","NAIA"
"University of Notre Dame","Notre Dame","Indiana","Great Lakes","Division I-A Independents","NCAA D1"
"University of Oklahoma","Norman","Oklahoma","Mid South","Big 12 Conference","NCAA D1"
"University of Oregon","Eugene","Oregon","West Coast","Pacific-12 Conference","NCAA D1"
"University of Pennsylvania – Penn","Philadelphia","Pennsylvania","North East","Ivy League","NCAA D1"
"University of Pikeville","Pikeville","Kentucky","Mid East","Mid-South Conference","NAIA"
"University of Pittsburgh","Pittsburgh","Pennsylvania","North East","Atlantic Coast Conference","NCAA D1"
"University of Pittsburgh – Johnstown","Johnstown","Pennsylvania","North East","Pennsylvania State Athletic Conference","NCAA D2"
"University of Pittsburgh – Titusville","Titusville","Pennsylvania","North East","Pennsylvania Collegiate Athletic Association","JC"
"University of Portland","Portland","Oregon","West Coast","West Coast Conference","NCAA D1"
"University of Providence","Great Falls","Montana","North West","Frontier Conference","NAIA"
"University of Puget Sound","Tacoma","Washington","West Coast","Northwest Conference","NCAA D3"
"University of Redlands","Redlands","California","West Coast","Southern California Intercollegiate Athletic Conference","NCAA D3"
"University of Rhode Island","Kingston","Rhode Island","New England","Atlantic 10 Conference","NCAA D1"
"University of Richmond","Richmond","Virginia","Mid East","Atlantic 10 Conference","NCAA D1"
"University of Rio Grande","Rio Grande","Ohio","Great Lakes","River States Conference","NAIA"
"University of Rochester","Rochester","New York","North East","University Athletic Association","NCAA D3"
"University of Saint Francis – Indiana","Fort Wayne","Indiana","Great Lakes","Crossroads League","NAIA"
"University of Saint Joseph","West Hartford","Connecticut","New England","Great Northeast Athletic Conference","NCAA D3"
"University of Saint Katherine","San Marcos","California","West Coast","California Pacific Conference","NAIA"
"University of Saint Mary","Leavenworth","Kansas","Mid West","Kansas Collegiate Athletic Conference","NAIA"
"University of San Diego","San Diego","California","West Coast","West Coast Conference","NCAA D1"
"University of San Francisco","San Francisco","California","West Coast","West Coast Conference","NCAA D1"
"University of Science & Arts of Oklahoma","Chickasha","Oklahoma","Mid South","Sooner Athletic Conference","NAIA"
"University of Scranton","Scranton","Pennsylvania","North East","Landmark Conference","NCAA D3"
"University of Sioux Falls","Sioux Falls","South Dakota","North West","Northern Sun Intercollegiate Conference","NCAA D2"
"University of South Alabama","Mobile","Alabama","South East","Sun Belt Conference","NCAA D1"
"University of South Carolina","Columbia","South Carolina","South East","Southeastern Conference","NCAA D1"
"University of South Carolina – Upstate","Spartanburg","South Carolina","South East","Big South Conference","NCAA D1"
"University of South Carolina Aiken","Aiken","South Carolina","South East","Peach Belt Conference","NCAA D2"
"University of South Dakota","Vermillion","South Dakota","North West","The Summit League ","NCAA D1"
"University of South Florida","Tampa","Florida","South East","American Athletic Conference","NCAA D1"
"University of Southern California","Los Angeles","California","West Coast","Pacific-12 Conference","NCAA D1"
"University of Southern Indiana","Evansville","Indiana","Great Lakes","Great Lakes Valley Conference","NCAA D2"
"University of Southern Maine","Portland","Maine","New England","Little East Conference","NCAA D3"
"University of Southern Mississippi","Hattiesburg","Mississippi","Mid South","Conference USA","NCAA D1"
"University of St. Francis – Illinois","Joliet","Illinois","Great Lakes","Chicagoland Collegiate Athletic Conference","NAIA"
"University of St. Thomas – Minnesota","Saint Paul","Minnesota","Mid West","The Summit League ","NCAA D1"
"University of St. Thomas – Texas","Houston","Texas","Mid South","Red River Athletic Conference","NCAA D3"
"University of Tampa","Tampa","Florida","South East","Sunshine State Conference","NCAA D2"
"University of Tennessee","Knoxville","Tennessee","Mid East","Southeastern Conference","NCAA D1"
"University of Tennessee – Chattanooga","Chattanooga","Tennessee","Mid East","Southern Conference","NCAA D1"
"University of Tennessee – Martin","Martin","Tennessee","Mid East","Ohio Valley Conference","NCAA D1"
"University of Texas – Arlington","Arlington","Texas","Mid South","Sun Belt Conference","NCAA D1"
"University of Texas – Austin","Austin","Texas","Mid South","Big 12 Conference","NCAA D1"
"University of Texas – El Paso","El Paso","Texas","Mid South","Conference USA","NCAA D1"
"University of Texas – Permian Basin","Odessa","Texas","Mid South","Lone Star Conference","NCAA D2"
"University of Texas – Rio Grande Valley","Edinburg","Texas","Mid South","Western Athletic Conference","NCAA D1"
"University of Texas – San Antonio","San Antonio","Texas","Mid South","Conference USA","NCAA D1"
"University of Texas – Tyler","Tyler","Texas","Mid South","American Southwest Conference","NCAA D2"
"University of Texas at Dallas","Richardson","Texas","Mid South","American Southwest Conference","NCAA D3"
"University of the Cumberlands","Williamsburg","Kentucky","Mid East","Mid-South Conference","NAIA"
"University of the Incarnate Word","San Antonio","Texas","Mid South","Southland Conference","NCAA D1"
"University of the Ozarks","Clarksville","Arkansas","Mid South","American Southwest Conference","NCAA D3"
"University of the Pacific","Stockton","California","West Coast","West Coast Conference","NCAA D1"
"University of the Sciences","Philadelphia","Pennsylvania","North East","Central Atlantic Collegiate Conference","NCAA D2"
"University of the Southwest","Hobbs","New Mexico","South West","Red River Athletic Conference","NAIA"
"University of Toledo","Toledo","Ohio","Great Lakes","Mid-American Conference","NCAA D1"
"University of Tulsa","Tulsa","Oklahoma","Mid South","American Athletic Conference","NCAA D1"
"University of Utah","Salt Lake City","Utah","South West","Pacific-12 Conference","NCAA D1"
"University of Vermont","Burlington","Vermont","New England","America East Conference","NCAA D1"
"University of Virginia","Charlottesville","Virginia","Mid East","Atlantic Coast Conference","NCAA D1"
"University of Washington","Seattle","Washington","West Coast","Pacific-12 Conference","NCAA D1"
"University of West Alabama","Livingston","Alabama","South East","Gulf South Conference","NCAA D2"
"University of West Florida","Pensacola","Florida","South East","Gulf South Conference","NCAA D2"
"University of West Georgia","Carrollton","Georgia","South East","Gulf South Conference","NCAA D2"
"University of Wisconsin","Madison","Wisconsin","Great Lakes","Big Ten Conference","NCAA D1"
"University of Wisconsin – Baraboo-Sauk County","Baraboo","Wisconsin","Great Lakes","Wisconsin Collegiate Conference","JC"
"University of Wisconsin – Eau Claire","Eau Claire","Wisconsin","Great Lakes","Wisconsin Intercollegiate Athletic Conference","NCAA D3"
"University of Wisconsin – Fond du Lac Campus","Fond Du Lac","Wisconsin","Great Lakes","Wisconsin Competitve Sports League","JC"
"University of Wisconsin – Green Bay","Green Bay","Wisconsin","Great Lakes","Horizon League","NCAA D1"
"University of Wisconsin – La Crosse","La Crosse","Wisconsin","Great Lakes","Wisconsin Intercollegiate Athletic Conference","NCAA D3"
"University of Wisconsin – Milwaukee","Milwaukee","Wisconsin","Great Lakes","Horizon League","NCAA D1"
"University of Wisconsin – Oshkosh","Oshkosh","Wisconsin","Great Lakes","Wisconsin Intercollegiate Athletic Conference","NCAA D3"
"University of Wisconsin – Parkside","Kenosha","Wisconsin","Great Lakes","Great Lakes Valley Conference","NCAA D2"
"University of Wisconsin – Platteville","Platteville","Wisconsin","Great Lakes","Wisconsin Intercollegiate Athletic Conference","NCAA D3"
"University of Wisconsin – Platteville Richland","Richland Center","Wisconsin","Great Lakes","Wisconsin Collegiate Conference","JC"
"University of Wisconsin – River Falls","River Falls","Wisconsin","Great Lakes","Wisconsin Intercollegiate Athletic Conference","NCAA D3"
"University of Wisconsin – Stevens Point","Stevens Point","Wisconsin","Great Lakes","Wisconsin Intercollegiate Athletic Conference","NCAA D3"
"University of Wisconsin – Stout","Menomonie","Wisconsin","Great Lakes","Wisconsin Intercollegiate Athletic Conference","NCAA D3"
"University of Wisconsin – Superior","Superior","Wisconsin","Great Lakes","Wisconsin Intercollegiate Athletic Conference","NCAA D3"
"University of Wisconsin – Washington County","West Bend","Wisconsin","Great Lakes","Wisconsin Collegiate Conference","JC"
"University of Wisconsin – Waukesha","Waukesha","Wisconsin","Great Lakes","Wisconsin Collegiate Conference","JC"
"University of Wisconsin – Whitewater","Whitewater","Wisconsin","Great Lakes","Wisconsin Intercollegiate Athletic Conference","NCAA D3"
"University of Wisconsin — Marathon Campus","Wausau","Wisconsin","Great Lakes","Wisconsin Collegiate Conference","JC"
"University of Wisconsin — Marinette","Marinette","Wisconsin","Great Lakes","Wisconsin Collegiate Conference","JC"
"University of Wisconsin — Marshfield-Wood County Campus","Marshfield","Wisconsin","Great Lakes","Wisconsin Competitve Sports League","JC"
"University of Wyoming","Laramie","Wyoming","North West","Mountain West Conference","NCAA D1"
"Upper Iowa University","Fayette","Iowa","Mid West","Northern Sun Intercollegiate Conference","NCAA D2"
"Ursinus College","Collegeville","Pennsylvania","North East","Centennial Conference","NCAA D3"
"Utah State University","Logan","Utah","South West","Mountain West Conference","NCAA D1"
"Utah State University Eastern","Price","Utah","South West","Scenic West Athletic Conference","JC"
"Utah Valley University","Orem","Utah","South West","Western Athletic Conference","NCAA D1"
"Utica College","Utica","New York","North East","Empire 8 Athletic Conference","NCAA D3"
"Valdosta State University","Valdosta","Georgia","South East","Gulf South Conference","NCAA D2"
"Valley City State University","Valley City","North Dakota","North West","North Star Athletic Association","NAIA"
"Valparaiso University","Valparaiso","Indiana","Great Lakes","Missouri Valley Conference","NCAA D1"
"Vanderbilt University","Nashville","Tennessee","Mid East","Southeastern Conference","NCAA D1"
"Vanguard University of Southern California","Costa Mesa","California","West Coast","Golden State Athletic Conference","NAIA"
"Vassar College","Poughkeepsie","New York","North East","Liberty League","NCAA D3"
"Vermilion Community College","Ely","Minnesota","Mid West","Minnesota College Athletic Conference","JC"
"Victor Valley College","Victorville","California","West Coast","Foothill Athletic Conference","JC"
"Victoria College","Victoria","Texas","Mid South","NJCAA Region 5","JC"
"Villanova University","Villanova","Pennsylvania","North East","Big East Conference","NCAA D1"
"Vincennes University","Vincennes","Indiana","Great Lakes","NJCAA Region 4","JC"
"Virginia Commonwealth University","Richmond","Virginia","Mid East","Atlantic 10 Conference","NCAA D1"
"Virginia Military Institute – VMI","Lexington","Virginia","Mid East","Southern Conference ","NCAA D1"
"Virginia State University","Petersburg","Virginia","Mid East","Central Intercollegiate Athletic Association","NCAA D2"
"Virginia Tech","Blacksburg","Virginia","Mid East","Atlantic Coast Conference","NCAA D1"
"Virginia Union University","Richmond","Virginia","Mid East","Central Intercollegiate Athletic Association","NCAA D2"
